id;nom_c;adresse;numero;email
1;reciprocal withdrawal;synthesize compressing;65355;Armin.Menard83@hotmail.fr
2;paradigm;foreground XSS engage;65665;lia_Bernard@hotmail.fr
3;a Aquitaine iterate;online Account global;77018;Abeline89@yahoo.fr
4;a quantify uniform;e-markets a;13573;Prudence69@gmail.com
5;multi-byte Mouse Sainte-Lucie;Ergonomic Avon;75158;Alose90@yahoo.fr
6;Multi-layered Hryvnia;orange;83690;Thrse29@gmail.com
7;Canada de c;Proactive;11251;Ariste_Guyot82@yahoo.fr
8;a;Plastic Small;68879;Sverin35@gmail.com
9;Ball client-driven;distributed Avon reboot;53007;Adelphe14@yahoo.fr
10;JBOD optical;Executif invoice;3725;Branger_Roux@yahoo.fr
